time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-11-10T22:49:37.790Z,36.8084984,-121.5345001,6.11,2.3,md,35,36,0.02683,0.15,nc,nc73480256,2020-11-10T23:15:08.907Z,"4km S of San Juan Bautista, CA",earthquake,0.33,0.71,0.19,32,automatic,nc,nc
2020-11-10T22:32:22.020Z,36.4875,-81.0788,5,1.4,ml,,86,0.015,0.49,us,us7000cd63,2020-11-10T23:54:55.040Z,"4 km ESE of Sparta, North Carolina",earthquake,1.7,1.1,0.097,14,reviewed,us,us
2020-11-10T21:58:05.735Z,62.1705,-150.2418,42.1,2.3,ml,,,,0.56,ak,ak020ehb4v7r,2020-11-10T22:53:56.040Z,"16 km S of Trapper Creek, Alaska",earthquake,,1,,,automatic,ak,ak
2020-11-10T21:56:19.640Z,19.1653333333333,-155.403,34.29,1.79,md,36,189,,0.18,hv,hv72224282,2020-11-10T22:36:35.210Z,"Island of Hawaii, Hawaii",earthquake,0.58,0.95,0.0575369098442318,17,reviewed,hv,hv
2020-11-10T21:55:10.550Z,19.1231666666667,-155.464333333333,44.53,1.96,md,35,180,,0.24,hv,hv72224277,2020-11-10T22:29:41.530Z,"Hawaii region, Hawaii",earthquake,0.74,0.79,0.0361454606438114,18,reviewed,hv,hv
2020-11-10T21:51:44.460Z,38.8328323,-122.8093338,2.35,1.25,md,26,43,0.009441,0.01,nc,nc73480251,2020-11-10T22:07:05.464Z,"8km W of Cobb, CA",earthquake,0.19,0.4,0.12,6,automatic,nc,nc
2020-11-10T21:51:11.780Z,19.1738333333333,-155.436,33.63,1.9,md,44,169,,0.19,hv,hv72224272,2020-11-10T22:46:45.040Z,"5 km SE of Pāhala, Hawaii",earthquake,0.58,0.91,0.120396235657589,16,reviewed,hv,hv
2020-11-10T21:46:20.770Z,19.2406666666667,-155.440833333333,25.09,1.54,md,31,129,,0.16,hv,hv72224267,2020-11-10T22:18:03.990Z,"5 km NE of Pāhala, Hawaii",earthquake,0.69,0.96,0.0519703916970629,16,reviewed,hv,hv
2020-11-10T21:41:54.410Z,19.3036666666667,-155.425166666667,8.58,1.09,md,30,84,,0.14,hv,hv72224262,2020-11-10T22:44:58.240Z,"12 km NNE of Pāhala, Hawaii",earthquake,0.37,1.36,0.101978340594177,15,reviewed,hv,hv
2020-11-10T21:22:45.960Z,37.6648333,-118.8591667,0.88,0.18,md,8,233,0.03258,0.04,nc,nc73480241,2020-11-10T22:40:05.680Z,"11km ENE of Mammoth Lakes, CA",earthquake,0.96,1.56,0.182,8,reviewed,nc,nc
2020-11-10T21:18:02.664Z,61.5404,-149.9348,38.3,1.3,ml,,,,0.64,ak,ak020ehawacq,2020-11-10T21:21:36.838Z,"2 km NNE of Big Lake, Alaska",earthquake,,1.4,,,automatic,ak,ak
2020-11-10T21:17:16.340Z,37.6395,-119.3993333,6.74,2.72,md,45,56,0.2541,0.16,nc,nc73480236,2020-11-10T23:55:05.171Z,"19km SE of Yosemite Valley, CA",earthquake,0.38,2.17,0.209,48,reviewed,nc,nc
2020-11-10T21:12:43.070Z,38.8440018,-122.8809967,2.03,0.59,md,10,103,0.006081,0.04,nc,nc73480231,2020-11-10T21:14:19.405Z,"13km ENE of Cloverdale, CA",earthquake,0.43,0.48,0.01,2,automatic,nc,nc
2020-11-10T21:11:24.100Z,38.1913,-117.9112,13.7,0.7,ml,11,106.63,0.016,0.06,nn,nn00782604,2020-11-10T21:18:19.992Z,"Nevada",earthquake,,7.8,,,automatic,nn,nn
2020-11-10T21:07:44.063Z,61.5479,-149.9088,33.7,1.6,ml,,,,0.56,ak,ak020ehau0o1,2020-11-10T21:14:56.108Z,"3 km NE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-11-10T21:01:38.100Z,38.758667,-122.7275009,1.69,0.51,md,12,110,0.003577,0.02,nc,nc73480226,2020-11-10T21:03:13.934Z,"3km SE of The Geysers, CA",earthquake,0.27,0.48,0.01,3,automatic,nc,nc
2020-11-10T21:01:34.993Z,59.5881,-151.2653,57.4,1.9,ml,,,,0.43,ak,ak020ehaspns,2020-11-10T21:13:15.668Z,"2 km WSW of Halibut Cove, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-11-10T20:54:12.155Z,-17.1855,-174.2617,127.21,4.9,mb,,57,4.53,0.81,us,us7000cd45,2020-11-10T22:20:54.040Z,"145 km SSW of Hihifo, Tonga",earthquake,5.2,7.6,0.096,37,reviewed,us,us
2020-11-10T20:50:22.705Z,61.271,-146.7312,18.8,2.3,ml,,,,0.55,ak,ak020ehahr78,2020-11-10T20:56:32.640Z,"25 km NW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-11-10T20:42:40.600Z,36.86083333,-97.46016667,4.27,1.53,ml,73,91,0.1520701586,0.33,ok,ok2020wdgy,2020-11-10T20:55:07.426Z,"6 km NNW of Nardin, Oklahoma",earthquake,,0.9,0.23,30,reviewed,ok,ok
2020-11-10T20:28:45.440Z,44.7006667,-110.9565,1.78,0.48,md,5,138,0.03256,0.2,uu,uu60417837,2020-11-10T23:56:54.080Z,"12 km ENE of West Yellowstone, Montana",earthquake,1.3,0.87,0.51,4,reviewed,uu,uu
2020-11-10T20:28:01.089Z,67.3132,-158.9668,0,2.6,ml,,,,1.01,ak,ak020ehaczwd,2020-11-10T20:41:10.250Z,"54 km WNW of Ambler, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-11-10T20:27:33.120Z,35.8703333,-117.6798333,6.14,0.93,ml,20,43,0.08101,0.06,ci,ci39461751,2020-11-10T22:51:36.208Z,"22km ESE of Little Lake, CA",earthquake,0.11,0.32,0.13,11,reviewed,ci,ci
2020-11-10T20:23:23.422Z,63.2308,-143.5404,0,1.9,ml,,,,1.42,ak,ak020ehabyva,2020-11-10T20:31:18.601Z,"19 km SSW of Tanacross, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-11-10T20:21:40.919Z,63.7324,-149.1196,0.4,2.2,ml,,,,0.94,ak,ak020ehabksy,2020-11-10T20:24:47.672Z,"10 km W of McKinley Park, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-11-10T20:20:13.240Z,17.945,-66.9923,6,2.41,md,17,222,0.0574,0.07,pr,pr2020315004,2020-11-11T00:37:12.225Z,"6 km ESE of La Parguera, Puerto Rico",earthquake,0.38,0.19,0.4,9,reviewed,pr,pr
2020-11-10T20:14:39.490Z,38.8268318,-122.8528366,1.96,0.69,md,18,68,0.003232,0.04,nc,nc73480216,2020-11-10T20:16:14.144Z,"10km WNW of The Geysers, CA",earthquake,0.23,0.49,0.21,3,automatic,nc,nc
2020-11-10T20:12:27.628Z,15.2322,-104.477,10,4.4,mb,,200,5.375,1,us,us7000cczu,2020-11-10T22:11:00.040Z,"off the coast of Michoacan, Mexico",earthquake,3.7,1.9,0.061,78,reviewed,us,us
2020-11-10T20:08:59.490Z,38.8073349,-122.8146667,1.97,1.33,md,31,58,0.01144,0.04,nc,nc73480211,2020-11-10T22:39:07.675Z,"6km WNW of The Geysers, CA",earthquake,0.18,0.3,0.05,9,automatic,nc,nc
2020-11-10T20:07:27.610Z,35.6636667,-117.4738333,6.6,1.29,ml,27,108,0.1322,0.11,ci,ci39461735,2020-11-10T22:49:23.890Z,"13km SSW of Searles Valley, CA",earthquake,0.16,0.67,0.232,16,reviewed,ci,ci
2020-11-10T20:04:15.560Z,45.9931667,-112.4785,-2,1.45,ml,7,179,0.057,0.07,mb,mb80474344,2020-11-10T20:40:50.840Z,"4 km ESE of Butte, Montana",quarry blast,0.6,31.61,0.119,7,reviewed,mb,mb
2020-11-10T19:59:02.280Z,46.0138333333333,-122.872166666667,-0.29,1.55,ml,11,154,0.0937,0.13,uw,uw61700761,2020-11-10T20:33:40.798Z,"2 km WNW of Kalama, Washington",explosion,0.82,31.61,0.132338202754213,8,reviewed,uw,uw
2020-11-10T19:57:00.400Z,38.18,-117.8592,6.3,1.4,ml,17,67.15,0.008,0.17,nn,nn00782601,2020-11-10T20:02:02.147Z,"31 km SE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-11-10T19:54:33.780Z,35.8255,-117.6521667,6.26,0.68,ml,19,73,0.04548,0.12,ci,ci39461719,2020-11-10T22:55:27.238Z,"23km N of Ridgecrest, CA",earthquake,0.18,0.39,0.201,9,reviewed,ci,ci
2020-11-10T19:52:30.125Z,61.5943,-149.9096,34.5,1.3,ml,,,,0.49,ak,ak020eh9wr2o,2020-11-10T19:59:35.337Z,"6 km SW of Houston, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-11-10T19:49:32.950Z,37.4911667,-118.8093333,2.8,1.04,md,18,126,0.09993,0.04,nc,nc73480206,2020-11-10T21:42:07.516Z,"14km SW of Toms Place, CA",earthquake,0.48,1.67,0.182,14,reviewed,nc,nc
2020-11-10T19:45:08.947Z,52.5728,-172.3767,136.85,4.3,mb,,144,1.049,1.05,us,us7000cczf,2020-11-10T21:43:06.040Z,"131 km ENE of Atka, Alaska",earthquake,6.7,6.7,0.051,114,reviewed,us,us
2020-11-10T19:44:23.358Z,63.291,-151.111,9,1.3,ml,,,,0.8,ak,ak020eh9v1cp,2020-11-10T19:50:54.442Z,"41 km SE of Denali National Park, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-11-10T19:39:34.940Z,40.7265,-122.3518333,-0.55,1.64,md,8,106,0.1474,0.1,nc,nc73480201,2020-11-10T23:06:47.684Z,"5km NNE of Shasta Lake, CA",quarry blast,0.7,31.61,0.141,17,reviewed,nc,nc
2020-11-10T19:37:42.690Z,38.8136673,-122.81633,0.53,0.24,md,13,83,0.01087,0.03,nc,nc73480196,2020-11-10T19:39:19.949Z,"7km NW of The Geysers, CA",earthquake,0.27,0.64,0.21,2,automatic,nc,nc
2020-11-10T19:29:46.970Z,35.0488333,-118.3173333,-0.99,1.13,ml,24,44,0.06141,0.17,ci,ci39461711,2020-11-10T20:13:52.610Z,"13km W of Mojave, CA",quarry blast,0.31,31.61,0.086,20,reviewed,ci,ci
2020-11-10T19:21:15.147Z,61.3253,-148.081,0,1.4,ml,,,,0.6,ak,ak020eh9q396,2020-11-10T19:24:51.643Z,"46 km ESE of Knik River, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-11-10T19:15:38.050Z,44.1251667,-115.0988333,5.15,2.05,ml,8,79,0.75,0.21,mb,mb80474334,2020-11-10T22:11:12.380Z,"16 km SW of Stanley, Idaho",earthquake,0.55,1.49,0.19,6,reviewed,mb,mb
2020-11-10T19:12:06.070Z,37.666,-118.8588333,-0.81,0.39,md,7,176,0.0334,0.03,nc,nc73480186,2020-11-10T20:50:29.413Z,"11km ENE of Mammoth Lakes, CA",earthquake,0.55,0.41,0.117,7,reviewed,nc,nc
2020-11-10T19:05:25.326Z,59.7173,-152.1444,51.4,1.8,ml,,,,0.55,ak,ak020eh9mokx,2020-11-10T19:17:40.925Z,"18 km WSW of Anchor Point, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-11-10T18:53:52.830Z,44.6936667,-110.9763333,4.9,0.54,md,9,129,0.02627,0.2,uu,uu60417822,2020-11-10T23:45:34.530Z,"10 km ENE of West Yellowstone, Montana",earthquake,0.55,0.65,0.184,7,reviewed,uu,uu
2020-11-10T18:46:57.812Z,61.2548,-150.173,59.8,1.3,ml,,,,0.25,ak,ak020eh9a3ub,2020-11-10T18:54:08.297Z,"15 km WNW of Anchorage, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-11-10T18:45:54.460Z,36.6707,-116.2493,8.2,1.5,ml,27,85.28,0.058,0.16,nn,nn00782595,2020-11-10T19:03:43.930Z,"52 km ESE of Beatty, Nevada",earthquake,,1,,,automatic,nn,nn
2020-11-10T18:43:28.916Z,10.7155,-86.4103,8.03,4.7,mb,,102,0.99,0.78,us,us7000ccz6,2020-11-10T20:34:39.996Z,"83 km SW of San Juan del Sur, Nicaragua",earthquake,6.2,5.5,0.061,82,reviewed,us,us
2020-11-10T18:41:16.390Z,37.6341667,-119.3878333,8.96,1.26,md,11,144,0.2449,0.28,nc,nc73480176,2020-11-10T21:32:04.797Z,"20km SE of Yosemite Valley, CA",earthquake,0.92,4.82,0.103,8,reviewed,nc,nc
2020-11-10T18:39:51.240Z,37.6261667,-119.3923333,6.77,1.45,md,14,142,0.2486,0.28,nc,nc73480181,2020-11-10T21:34:04.808Z,"21km SE of Yosemite Valley, CA",earthquake,0.95,5.94,0.175,14,reviewed,nc,nc
2020-11-10T18:34:20.860Z,37.6408348,-119.3925018,13.36,2.89,md,26,139,0.2487,0.12,nc,nc73480171,2020-11-10T22:05:39.963Z,"20km SE of Yosemite Valley, CA",earthquake,0.5,1.7,0.17,26,automatic,nc,nc
2020-11-10T18:18:04.560Z,37.633,-119.3351667,13.09,0.94,md,6,332,0.2031,0.04,nc,nc73480166,2020-11-10T18:53:14.250Z,"24km ESE of Yosemite Valley, CA",earthquake,1.23,2.24,0.21,4,reviewed,nc,nc
2020-11-10T18:16:16.290Z,37.6213333,-119.3885,6.04,1.23,md,11,141,0.2457,0.3,nc,nc73480161,2020-11-10T19:19:04.936Z,"21km SE of Yosemite Valley, CA",earthquake,1.09,11.89,0.141,8,reviewed,nc,nc
2020-11-10T18:16:08.555Z,60.7998,-146.7547,22.6,1.8,ml,,,,0.88,ak,ak020eh93kjz,2020-11-10T18:24:05.321Z,"8 km SSW of Tatitlek, Alaska",earthquake,,0.1,,,automatic,ak,ak
2020-11-10T18:11:40.110Z,35.3273333,-119.4973333,23.45,1.88,ml,25,75,0.1105,0.23,ci,ci39461671,2020-11-10T18:28:24.700Z,"8km SSW of Buttonwillow, CA",earthquake,0.35,0.81,0.147,21,reviewed,ci,ci
2020-11-10T18:09:58.780Z,37.6303329,-119.4083328,11.25,2.79,ml,35,136,0.2612,0.09,nc,nc73480151,2020-11-10T20:13:04.293Z,"19km SE of Yosemite Valley, CA",earthquake,0.36,1.28,0.388,17,automatic,nc,nc
2020-11-10T18:08:50.361Z,59.3986,-152.6032,71.6,1.8,ml,,,,0.43,ak,ak020eh91y2f,2020-11-10T18:19:04.293Z,"39 km W of Nanwalek, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-11-10T18:03:43.290Z,38.0637,-116.2385,9.7,1.4,ml,8,201.88,1.085,0.16,nn,nn00782587,2020-11-10T18:10:58.631Z,"63 km NW of Rachel, Nevada",earthquake,,3.8,,,automatic,nn,nn
2020-11-10T17:58:19.600Z,37.6305,-119.384,4.44,1.63,md,8,143,0.2575,0.22,nc,nc73480141,2020-11-10T18:57:06.790Z,"21km SE of Yosemite Valley, CA",earthquake,0.72,31.61,0.291,7,reviewed,nc,nc
2020-11-10T17:57:32.700Z,37.6399994,-119.3884964,11.12,2.47,md,21,146,0.2455,0.05,nc,nc73480136,2020-11-10T19:58:06.197Z,"20km SE of Yosemite Valley, CA",earthquake,0.35,1.87,0.22,20,automatic,nc,nc
2020-11-10T17:56:14.180Z,37.6383333,-119.385,4.16,1.24,md,9,141,0.2427,0.12,nc,nc73480146,2020-11-10T20:53:04.546Z,"20km SE of Yosemite Valley, CA",earthquake,0.76,31.61,0.111,7,reviewed,nc,nc
2020-11-10T17:54:37.450Z,38.0793333,-118.7495,3.14,1.56,md,21,195,0.2582,0.07,nc,nc73480131,2020-11-10T23:03:06.847Z,"27km ESE of Bodie, CA",earthquake,0.65,8.88,0.178,21,reviewed,nc,nc
2020-11-10T17:43:37.980Z,32.2536667,-116.5705,14.29,1.37,ml,25,115,0.09864,0.15,ci,ci39461655,2020-11-10T19:26:41.917Z,"33km E of Primo Tapia, B.C., MX",earthquake,0.33,0.44,0.136,14,reviewed,ci,ci
2020-11-10T17:38:18.090Z,34.0358333,-117.1043333,12.58,0.99,ml,28,63,0.07064,0.12,ci,ci39461647,2020-11-10T18:17:13.450Z,"5km SE of Mentone, CA",earthquake,0.18,0.48,0.085,17,reviewed,ci,ci
2020-11-10T17:29:34.850Z,32.9765,-116.4228333,13.21,0.9,ml,27,71,0.0113,0.16,ci,ci39461639,2020-11-10T18:12:58.413Z,"20km NNE of Pine Valley, CA",earthquake,0.27,0.55,0.082,10,reviewed,ci,ci
2020-11-10T17:22:09.250Z,39.8061676,-120.6798325,14.62,2.05,md,5,93,0.1919,0.02,nc,nc73480121,2020-11-10T19:17:04.919Z,"3km NW of Plumas Eureka, CA",earthquake,0.88,3.47,0.24,4,automatic,nc,nc
2020-11-10T17:17:04.040Z,33.5975,-116.8091667,6.29,0.9,ml,34,46,0.03781,0.11,ci,ci39461631,2020-11-10T18:10:13.520Z,"13km WNW of Anza, CA",earthquake,0.15,0.34,0.186,21,reviewed,ci,ci
2020-11-10T17:01:42.517Z,61.3173,-149.9611,21.1,2.1,ml,,,,0.67,ak,ak020eh8ezv4,2020-11-10T17:11:51.297Z,"4 km S of Point MacKenzie, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-11-10T16:54:21.140Z,38.1695,-117.8415,9.5,0.9,ml,13,105.96,0.027,0.12,nn,nn00782572,2020-11-10T17:03:59.742Z,"33 km SE of Mina, Nevada",earthquake,,7.4,,,automatic,nn,nn
2020-11-10T16:52:31.645Z,63.6932,-151.7718,0,2.3,ml,,,,0.85,ak,ak020eh84gvt,2020-11-10T17:40:08.040Z,"17 km N of Denali National Park, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-11-10T16:32:54.645Z,22.2863,-107.6953,10,4.4,mb,,192,4.765,1.06,us,us7000ccx5,2020-11-10T17:43:45.040Z,"168 km SW of Mazatlán, Mexico",earthquake,11.5,2,0.042,167,reviewed,us,us
2020-11-10T16:24:58.620Z,38.1407,-118.3846,5.6,2.1,ml,30,68.06,0.146,0.147,nn,nn00782562,2020-11-10T18:25:37.244Z,"36 km NNE of Benton, California",earthquake,,3.7,0.32,16,reviewed,nn,nn
2020-11-10T16:15:12.940Z,34.4075,-120.0048333,0.9,3.25,ml,41,86,0.1219,0.24,ci,ci39461591,2020-11-11T00:34:51.421Z,"13km W of Isla Vista, CA",earthquake,0.21,0.41,0.111,94,reviewed,ci,ci
2020-11-10T16:14:35.675Z,61.3082,-141.5598,17.6,1.5,ml,,,,0.12,ak,ak020eh7wc0e,2020-11-10T16:19:13.191Z,"74 km ESE of McCarthy, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-11-10T16:13:32.640Z,38.7879982,-122.7696686,1.61,0.52,md,11,84,0.01517,0.03,nc,nc73480096,2020-11-10T17:11:05.134Z,"2km NW of The Geysers, CA",earthquake,0.29,0.65,0.03,3,automatic,nc,nc
2020-11-10T16:01:50.159Z,34.9965,-97.576,6.15,2.53,ml,101,25,0.082783755,0.22,ok,ok2020wcxr,2020-11-10T23:44:36.787Z,"6 km SE of Dibble, Oklahoma",earthquake,,0.4,0.22,38,reviewed,ok,ok
2020-11-10T15:56:10.099Z,61.7909,-149.542,15.4,1.3,ml,,,,0.54,ak,ak020eh7jui9,2020-11-10T15:59:20.736Z,"16 km WNW of Fishhook, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-11-10T15:51:45.320Z,39.356,-123.2595,5.27,1.09,md,12,108,0.07022,0.07,nc,nc73480091,2020-11-10T22:52:05.901Z,"10km SE of Willits, CA",earthquake,0.23,0.86,0.129,9,reviewed,nc,nc
2020-11-10T15:45:21.888Z,64.172,-147.9574,5.6,1.5,ml,,,,0.45,ak,ak020eh7hijg,2020-11-10T15:48:39.462Z,"59 km ENE of Ferry, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-11-10T15:42:05.110Z,60.0138333333333,-153.073333333333,-2.97,-0.63,ml,5,95,,0.2,av,av91011998,2020-11-11T00:35:09.290Z,"63 km ENE of Pedro Bay, Alaska",earthquake,0.41,2.29,0.313213436903485,4,reviewed,av,av
2020-11-10T15:28:30.030Z,40.4129982,-123.8590012,29.55,2.97,md,20,99,0.03222,0.14,nc,nc73480086,2020-11-10T21:45:51.321Z,"23km ESE of Rio Dell, CA",earthquake,0.56,1.29,0.12,31,automatic,nc,nc
2020-11-10T15:18:34.788Z,58.9932,-137.7295,4.1,2.3,ml,,,,0.85,ak,ak020eh7br81,2020-11-10T15:28:57.355Z,"108 km WSW of Covenant Life, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-11-10T15:05:20.969Z,63.6833,-151.4067,55.3,1.5,ml,,,,1.01,ak,ak020eh78xts,2020-11-10T15:07:44.835Z,"22 km NE of Denali National Park, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-11-10T14:56:55.180Z,61.379,-147.1363,20.7,1.3,ml,,,,0.4,ak,ak020eh6yidc,2020-11-10T15:01:03.984Z,"50 km WNW of Valdez, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-11-10T14:44:20.346Z,62.4789,-149.3379,43.6,1.6,ml,,,,0.63,ak,ak020eh6vv3r,2020-11-10T14:48:52.497Z,"39 km E of Chase, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-11-10T14:37:41.056Z,38.9127,70.4857,29.59,4.9,mww,,38,1.172,0.64,us,us7000ccv9,2020-11-10T15:29:47.628Z,"16 km SE of Rasht, Tajikistan",earthquake,6.9,5,0.093,11,reviewed,us,us
2020-11-10T14:35:54.070Z,19.1563339233398,-155.466003417969,33.5900001525879,1.75,md,36,172,,0.100000001,hv,hv72224027,2020-11-10T14:39:08.160Z,"5 km SSE of Pāhala, Hawaii",earthquake,0.81,1.28999996,1.75,4,automatic,hv,hv
2020-11-10T14:29:22.980Z,38.1645,-117.9653,6.8,0.9,ml,10,103.67,0.032,0.01,nn,nn00782557,2020-11-10T14:39:39.175Z,"28 km SSE of Mina, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-11-10T14:21:56.775Z,65.4276,-153.6309,15.2,1.8,ml,,,,1.01,ak,ak020eh6r0hw,2020-11-10T14:35:00.696Z,"74 km SSE of Hughes, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-11-10T14:16:08.017Z,61.1375,-147.4413,0,1.6,ml,,,,0.71,ak,ak020eh6pu3l,2020-11-10T16:44:07.156Z,"51 km NW of Tatitlek, Alaska",ice quake,,0.5,,,automatic,ak,ak
2020-11-10T14:11:41.620Z,19.1935005187988,-155.447174072266,33.9199981689453,2,md,40,141,,0.109999999,hv,hv72224022,2020-11-10T14:14:51.470Z,"3 km ESE of Pāhala, Hawaii",earthquake,0.58,0.810000002,1.83000004,6,automatic,hv,hv
2020-11-10T14:06:18.080Z,37.1174,-117.9124,0,1.4,ml,9,192.24,0.242,0.176,nn,nn00782555,2020-11-11T00:39:37.457Z,"33 km E of Big Pine, California",earthquake,,0,0.63,4,reviewed,nn,nn
2020-11-10T14:02:28.090Z,38.4041667,-112.832,1.51,0.11,md,9,149,0.05923,0.13,uu,uu60417792,2020-11-10T17:28:08.420Z,"15 km E of Milford, Utah",earthquake,1.02,3.04,0.604,4,reviewed,uu,uu
2020-11-10T14:00:25.072Z,38.2032,-117.757,7.8,1.8,ml,28,71.46,0.026,0.1505,nn,nn00782552,2020-11-10T19:40:02.904Z,"37 km SE of Mina, Nevada",earthquake,,0.9,0.36,14,reviewed,nn,nn
2020-11-10T13:53:06.660Z,33.6391667,-116.6888333,15.84,0.29,ml,16,102,0.07486,0.19,ci,ci39461511,2020-11-10T14:42:02.997Z,"10km N of Anza, CA",earthquake,0.75,0.98,0.114,10,reviewed,ci,ci
2020-11-10T13:41:53.540Z,44.6878333,-110.9863333,5.92,1.79,ml,16,52,0.02447,0.17,uu,uu60417787,2020-11-10T15:02:42.640Z,"9 km ENE of West Yellowstone, Montana",earthquake,0.37,0.68,0.324,4,reviewed,uu,uu
2020-11-10T13:40:59.140Z,38.1322,-118.2145,1.5,0.9,ml,10,191.35,0.149,0.04,nn,nn00782550,2020-11-10T13:44:38.615Z,"30 km SSW of Mina, Nevada",earthquake,,9,,,automatic,nn,nn
2020-11-10T13:34:49.610Z,37.589,-118.7725,5.39,0.35,md,6,317,0.04498,0.04,nc,nc73480076,2020-11-10T16:46:08.989Z,"9km WNW of Toms Place, CA",earthquake,1.44,0.5,0.27,6,reviewed,nc,nc
2020-11-10T13:33:36.340Z,17.9695,-66.9185,13,2.41,md,9,189,0.0397,0.11,pr,pr2020315003,2020-11-10T13:54:51.118Z,"1 km WSW of Guánica, Puerto Rico",earthquake,0.85,0.42,0.25,6,reviewed,pr,pr
2020-11-10T13:31:04.530Z,44.3093333,-114.8866667,4.7,1.82,ml,9,71,0.821,0.21,mb,mb80474269,2020-11-10T20:28:03.650Z,"11 km NNE of Stanley, Idaho",earthquake,0.51,2.08,0.223,7,reviewed,mb,mb
2020-11-10T13:26:00.560Z,38.1678,-117.8733,9.4,1.3,ml,11,148.78,0.025,0.01,nn,nn00782548,2020-11-10T13:42:59.603Z,"32 km SE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-11-10T13:23:56.509Z,62.135,-150.845,53.3,2,ml,,,,0.56,ak,ak020eh6609b,2020-11-10T13:37:14.115Z,"33 km ENE of Skwentna, Alaska",earthquake,,0.8,,,automatic,ak,ak
